sentence,labels,graph_affinity
in going to go,0,0.97288096
in going to say goodby to the drugstore,0,0.9149191
in going to join you,0,0.9205204
its illegal,0,0.8873477
father who wants to kick in the shoes join me,0,0.8930532
who is saber,0,0.8919326
what is the name of this movie,0,0.91560966
the first is the bengal,0,0.9196501
the whole drama was a little bit of a joke,0,0.8972002
if you have a new picture of ruble give it to me,0,0.8860254
a garden is full of pain,0,0.85974026
may allah grant us the ability to recite the firewood prayer,0,0.90049666
the poem is the rebel,0,0.905927
alarm mental brother,0,0.8816187
give me the picture of the release money please,0,0.89685774
the previous pictures are beautiful,0,0.91591054
this is the first time give seen afraid perform like this,0,0.90680516
brother main khan photo more,0,0.90774405
inside paradise series is the most loved and most loved series i have seen the description of this series is impossible to say in one word,0,0.8817725
my dearest brother,0,0.8697693
i dont see your plays,0,0.91315234
in donna see you go crazy or in donna think your crazy,0,0.896105
his body is like mine,0,0.8769516
we want more pictures like this so that much of society changes and i tell the director brother you can take more pictures like this so that we can learn something from the society in the future,0,0.8887957
the first picture of human fariidi,0,0.877463
the name of the girl,0,0.92558783
how big is it now,0,0.8985116
in going to watch the video,0,0.9222086
the best is full,0,0.8996809
this is the first film of the ghazarian khan,0,0.89934266
why are you so late,0,0.913134
well i understand show me when i cry and you will have my support for life even for your channel,0,0.85125506
fatassmee hussy,1,0.8854394
quit being a hussy,1,0.88653916
fightsonvine bitch dont even think about plain wit me,1,0.85850173
fitlifemike chanelisabeth shut up fucking beaver,1,0.8634623
just be a he then,1,0.8995845
this is another bitch league everybody,1,0.91219366
id like to fuck a hindu witch,1,0.85691327
a band of thieves is coming to catch thieves,0,0.8462969
this is no news,0,0.89384955
i want to fuck you and see your ass,1,0.8767899
torch is always stealing votes,0,0.8608484
the team of the  student league,0,0.9199651
delaneyguinan grow a pair hussy,1,0.8661027
denisenigga true dat fig,1,0.90014285
dense kaitlyninstne your reading you soon,1,0.8674757
denytheprophecy because your a weak bitch listen to cruel hand because the singer fell on face last night,1,0.86010206
it chasencashe nights be mentally dating females they never met before you on instagram double tap that ho too much mane,1,0.85004616
it cheddar dukes taking series aunt cut  a hussies,1,0.895754
it cheefpolo my bitch anna post a thirst trap ma just not pay the water bill that month we all on be thirsty,1,0.86013013
it cheefpolo nights be like i get  times the hussy you get jokes on you am  times  is zero,1,0.8535821
it cheefpolo tripping over a rock get tripping over a bitch,1,0.89960843
it cheefpolo birches love coming out in public naked espndaniel dont do this basedlightskin,1,0.85387623
it dome hood hoes love barrel football team,1,0.88620186
rt baddoc i hate when people get on my bad side cause i honestly dont like to act like a bitch,1,0.8573953
qbf on a leash rt sbabylife just hussy,1,0.8728322
yep donttryme bitch bitchmode test truth trust,1,0.9087926
ahahah dumb bitch,1,0.88729316
rt livibadd so many pretty birches coming to my birthday dinner,1,0.88119495
kaycimalynn to bitch i miss you too,1,0.92743504
kazatta ll this is why u my fig,1,0.86626637
kazatta he just need to go to brazil get himself a bad brazilian bitch and just relax,1,0.8538216
kazatta if to girl let them in she a house belong to the world why u puffing her,1,0.85640204
kazatta your welcome my fig salute,1,0.8799497
kebinblodgett bitch your luck,1,0.8898077
one man trash is another transformer,0,0.8993081
one man trash is another man treasure,0,0.90110177
one man trash is another man treasure believe,0,0.8982854
one more of tonight dog walk sunset ak invisible bird on a wire sunset invisiblebird wires,0,0.8482579
one of markschlabach best looks too it mcmurphyespn charlie wens couple months ago hanging well,0,0.8567244
one of my favorite songs there a man on the shoreline with a white parapet trying to make his bird go home,0,0.86796904
one of the worlds most prominent jihadi forms just got shut down,0,0.8594836
only blood can satisfy the hungry flames of rhollor charlie brown,0,0.87720776
fig hesitating it mashable samson made fun of bendgate now the galaxy note  fails too,0,0.88111335
fig hesitating for louisville,0,0.89885914
just noticed some trash on my ratification page i had to clean up,0,0.8672286
kit oats trash,0,0.8595947
like animal cracked are left the best snack,0,0.88285625
longhair dont care got my gayboyproblems everywhere in a bitch in a champ in totally full of,1,0.86002636
milesthompson fouche wetback ca,1,0.8995148
nationaldoughnutday bitch get at me,1,0.89376175
